light,temp
955,56.56
958,56.71
964,56.13
956,56.56
956,56.71
956,56.71
962,57.72
958,57.29
954,56.71
958,56.56
965,54.97
957,56.42
956,55.55
957,56.42
964,55.55
959,56.27
955,56.71
957,56.71
961,55.55
959,56.13
954,56.71
958,56.56
963,55.55
955,56.27
956,56.13
960,57.29
962,56.13
958,55.55
953,56.27
957,54.97
963,55.55
960,56.56
956,56.13
960,56.71
968,57.72
956,54.82
952,55.98
954,55.11
963,55.40
957,56.71
953,56.13
958,56.13
962,56.71
958,55.98
953,56.42
959,55.55
964,56.71
956,56.56
956,57.72
959,57.43
964,56.71
956,56.42
955,56.71
960,57.29
966,55.40
958,56.71
955,57.14
962,55.26
961,56.13
959,56.56
954,56.13
958,56.56
963,57.72
957,56.13
955,56.13
961,55.55
962,56.71
959,57.58
955,55.55
959,57.29
962,55.55
956,56.13
954,56.56
960,56.56
963,56.13
958,56.85
954,57.43
959,55.55
963,56.13
956,56.13
956,56.13
962,57.87
962,57.72
955,56.42
954,56.71
960,57.58
962,56.71
956,56.42
953,57.14
960,54.39
960,56.71
955,57.58
954,57.14
962,56.71
960,57.43
956,56.71
952,56.13
958,55.55
964,56.71
957,56.71
952,56.71
958,55.55
964,56.56
955,56.13
958,57.14
960,56.27
962,56.13
956,56.13
955,56.13
960,56.71
962,56.13
956,56.71
956,57.29
959,57.29
961,56.13
958,55.55
954,56.71
959,56.71
962,55.55
953,55.98
953,56.42
963,56.13
963,55.98
955,56.71
954,56.56
959,57.72
960,56.13
955,56.13
957,56.71
960,56.42
961,50.90
956,56.13
953,56.56
960,56.13
961,55.40
956,57.14
958,57.58
964,56.71
961,55.84
953,56.56
959,56.56
960,55.98
961,57.43
957,56.42
954,56.13
962,56.13
963,57.58
955,56.42
955,56.13
961,56.56
961,55.98
956,57.14
956,56.56
961,56.56
962,56.56
954,56.71
955,57.72
961,55.40
962,56.42
956,56.42
956,56.71
963,56.71
963,56.71
956,55.55
956,55.55
960,55.98
962,56.13
958,57.14
955,56.56
963,56.42
961,56.13
956,56.13
955,56.71
962,57.43
963,57.87
955,55.98
956,56.27
961,56.71
961,56.13
954,56.56
955,56.56
960,58.1
960,54.68
955,56.56
956,58.74
963,57.0
966,57.43
954,56.56
956,57.29
961,55.98
961,57.29
956,56.71
954,56.42
961,57.72
962,56.56
956,56.13
954,57.72
962,55.40
960,56.42
957,56.71
957,57.14
962,56.56
962,58.30
955,56.13
955,56.56
960,56.56
960,56.42
956,56.71
956,56.56
962,57.29
960,56.13
955,56.71
955,55.55
960,57.29
960,56.13
955,55.55
954,57.72
962,57.87
962,57.29
954,57.0
956,57.72
961,55.26
960,56.42
955,55.55
956,56.71
962,57.87
962,56.71
954,56.71
953,56.42
961,55.98
960,56.56
954,57.29
953,56.42
960,58.30
960,57.87
954,56.56
956,56.71
960,56.27
960,56.13
953,56.56
956,56.71
962,54.82
960,55.98
952,56.71
956,57.29
963,57.72
960,56.71
953,56.56
956,56.56
962,57.72
960,56.71
956,56.56
956,56.56
962,55.55
963,57.87
956,57.29
958,56.27
961,57.29
960,57.43
952,56.27
957,55.55
962,56.13
960,56.56
955,56.71
957,56.56
962,56.27
961,56.13
954,56.42
955,57.72
962,57.0
962,57.72
956,54.82
956,56.42
962,56.42
961,55.84
956,55.55
954,56.13
962,56.71
962,57.72
956,56.56
959,56.71
960,55.84
961,55.98
952,55.98
956,56.71
962,55.98
960,56.42
955,56.71
958,56.56
963,56.56
961,55.55
955,56.71
955,56.27
962,55.26
961,55.26
955,56.85
957,56.71
960,56.71
960,55.40
955,54.39
955,56.42
961,56.13
960,57.72
954,56.71
959,56.71
963,55.84
959,56.71
957,57.87
956,56.71
961,57.72
958,56.71
954,58.16
956,56.56
963,56.56
958,57.14
952,55.84
955,57.29
961,56.56
957,55.98
954,54.39
958,56.56
961,56.71
958,56.56
948,55.98
956,56.56
960,56.27
961,55.55
958,56.13
958,57.43
962,55.55
959,56.71
951,56.42
958,55.55
962,57.14
960,57.87
953,55.98
953,56.71
964,57.58
957,56.71
954,55.98
958,56.71
962,58.59
961,56.71
955,56.13
955,56.71
964,57.29
959,57.29
955,57.14
958,56.71
961,56.13
959,56.42
953,56.71
958,56.13
963,57.14
960,56.42
954,57.29
957,56.71
961,54.39
959,55.55
956,58.45
958,59.3
964,55.55
959,55.84
952,56.13
958,56.42
960,56.71
959,57.72
954,59.61
961,57.14
964,56.71
957,56.71
954,57.14
958,56.71
964,55.40
961,56.13
954,56.71
959,56.13
966,56.71
959,55.98
954,56.42
959,56.42
961,56.56
957,55.55
955,56.56
959,56.56
966,57.14
959,56.42
953,57.14
957,56.13
963,56.71
959,56.56
954,56.56
959,55.55
966,56.71
957,56.13
955,55.84
957,55.98
963,56.71
958,56.42
953,54.97
959,56.13
962,56.71
958,56.27
955,56.27
958,56.71
964,57.14
959,56.13
958,54.82
958,57.14
965,57.43
957,57.58
953,56.27
962,57.14
966,57.29
959,56.56
958,55.11
962,55.98
962,57.29
960,56.71
954,55.55
958,56.71
963,56.56
959,55.98
956,56.27
959,55.55
962,55.55
957,56.27
955,55.55
957,55.98
965,54.97
959,56.71
954,57.29
962,56.71
962,58.1
958,57.14
952,56.71
960,56.42
963,56.56
956,55.55
956,56.71
960,57.72
964,56.13
956,55.98
953,55.55
958,56.13
964,57.14
958,57.72
954,56.27
959,56.71
961,56.71
958,57.29
955,56.13
962,57.14
962,56.27
955,56.42
956,56.13
960,56.56
964,55.98
958,55.98
956,56.13
962,57.14
963,56.27
957,56.71
955,56.42
961,57.14
964,57.87
958,57.58
956,56.71
961,56.27
964,57.43
957,56.13
955,57.29
959,57.29
963,56.42
955,57.72
954,55.55
957,56.42
960,56.71
958,56.56
955,57.14
962,56.56
961,56.56
957,55.40
955,56.71
959,55.55
963,56.71
958,56.71
954,56.42
959,57.29
962,55.55
956,55.55
954,56.56
961,57.14
966,55.55
958,57.43
955,56.71
959,55.84
960,57.58
953,56.27
955,56.13
960,56.71
962,57.43
954,56.42
955,56.71
960,56.71
963,56.56
956,57.87
956,56.71
959,55.98
962,56.71
955,56.71
953,55.55
960,56.71
963,56.71
956,57.14
955,56.42
960,55.98
961,55.40
956,58.45
956,56.71
961,56.13
960,56.71
956,55.11
953,55.55
960,56.56
964,57.14
958,57.29
956,56.27
960,56.56
962,57.29
953,56.56
955,56.13
960,56.13
960,57.87
956,56.13
956,56.56
962,56.71
962,56.56
958,56.56
955,56.56
962,57.29
964,57.14
954,56.71
958,55.98
962,56.71
961,56.13
955,55.55
954,56.56
962,57.14
962,56.13
955,56.42
959,55.98
960,57.0
961,56.42
956,56.13
958,57.14
961,56.27
961,56.13
957,55.55
955,56.13
963,56.71
963,57.29
953,56.71
954,57.72
960,55.84
962,56.42
955,55.40
954,56.56
961,56.71
963,57.14
956,56.71
953,57.14
960,56.71
962,57.14
958,56.71
955,55.55
961,55.55
962,57.43
954,58.30
954,56.71
961,55.98
