15 ,  53 .   8 
2086 ,  51 .  92 
2126 ,  53 .  22 
2111 ,  52 .  79 
2066 ,  51 .  92 
2102 ,  53 .  22 
2104 ,  52 .   6 
2054 ,  52 .  50 
2016 ,  52 .  93 
2089 ,  51 .  48 
2126 ,  52 .   6 
2110 ,  52 .   6 
2068 ,  52 .  64 
2101 ,  53 .   8 
2102 ,  52 .  64 
2052 ,  53 .   8 
2018 ,  53 .  22 
2088 ,  52 .   6 
2125 ,  51 .  77 
2108 ,  52 .  50 
2067 ,  52 .   6 
2103 ,  52 .   6 
2104 ,  53 .  22 
2053 ,  53 .   8 
2017 ,  52 .   6 
2091 ,  50 .  76 
2130 ,  52 .  64 
2111 ,  52 .  50 
2069 ,  52 .  64 
2106 ,  53 .  22 
2103 ,  52 .  64 
2054 ,  53 .   8 
2020 ,  52 .   6 
2091 ,  52 .   6 
2128 ,  52 .  79 
2108 ,  53 .   8 
2068 ,  51 .  77 
2104 ,  52 .  93 
2102 ,  52 .   6 
2050 ,  53 .  22 
2022 ,  52 .  64 
2092 ,  51 .  77 
2129 ,  53 .   8 
2110 ,  52 .   6 
2072 ,  51 .  77 
2104 ,  52 .   6 
2104 ,  53 .  37 
2049 ,  52 .  79 
2026 ,  52 .   6 
2094 ,  52 .   6 
2131 ,  53 .  22 
2109 ,  53 .  22 
2074 ,  52 .  79 
2108 ,  52 .  64 
2104 ,  53 .  22 
2046 ,  51 .  92 
2026 ,  52 .  79 
2098 ,  53 .  22 
2129 ,  52 .  64 
2107 ,  52 .   6 
2074 ,  50 .  90 
2108 ,  51 .  77 
2102 ,  51 .  92 
2048 ,  53 .  22 
2028 ,  52 .  64 
2096 ,  50 .  90 
2129 ,  52 .  93 
2105 ,  52 .  64 
2074 ,  52 .  50 
2107 ,  52 .   6 
2103 ,  52 .  64 
2044 ,  51 .  48 
2030 ,  53 .  22 
2098 ,  53 .   8 
2129 ,  52 .  64 
2102 ,  52 .   6 
2072 ,  53 .   8 
2106 ,  52 .   6 
2096 ,  53 .   8 
2040 ,  52 .  50 
2032 ,  53 .  22 
2100 ,  52 .  64 
2127 ,  52 .   6 
2102 ,  53 .  22 
2076 ,  52 .  79 
2110 ,  52 .  93 
2099 ,  51 .  48 
2044 ,  53 .  22 
2036 ,  52 .  64 
2103 ,  51 .  77 
2132 ,  51 .  34 
2107 ,  53 .   8 
2079 ,  52 .  64 
2114 ,  53 .  22 
2103 ,  51 .  48 
2041 ,  51 .  92 
2037 ,  52 .   6 
2107 ,  52 .   6 
2134 ,  53 .  22 
2107 ,  52 .  79 
2081 ,  51 .  92 
2115 ,  52 .   6 
2101 ,  52 .  64 
2037 ,  52 .   6 
2038 ,  53 .   8 
2106 ,  52 .   6 
2133 ,  52 .  64 
2105 ,  53 .   8 
2082 ,  52 .  50 
2112 ,  52 .  64 
2095 ,  50 .  76 
2032 ,  51 .  48 
2037 ,  52 .  64 
2103 ,  52 .  93 
2131 ,  51 .  63 
2099 ,  52 .  93 
2079 ,  52 .  64 
2110 ,  53 .  22 
2097 ,  51 .  48 
2036 ,  53 .  22 
2037 ,  53 .  22 
2106 ,  51 .  48 
2131 ,  52 .  64 
2101 ,  52 .  79 
2080 ,  52 .  64 
2111 ,  53 .  37 
2096 ,  51 .  77 
2035 ,  53 .   8 
2040 ,  52 .   6 
2105 ,  51 .  48 
