5 
 160 ,  59 .  61 
 163 ,  59 .  61 
 162 ,  59 .   3 
 159 ,  59 .  61 
 163 ,  60 .   4 
 161 ,  58 .  88 
 160 ,  59 .  90 
 160 ,  60 .   4 
 163 ,  59 .  75 
 160 ,  59 .  61 
 163 ,  60 .   4 
 161 ,  59 .   3 
 164 ,  59 .  61 
 164 ,  59 .  46 
 159 ,  59 .  32 
 160 ,  59 .  46 
 162 ,  60 .  19 
 163 ,  59 .  90 
 161 ,  59 .  61 
 164 ,  58 .  88 
 178 ,  59 .  75 
 196 ,  59 .   3 
 230 ,  59 .  61 
 268 ,  59 .  32 
 311 ,  59 .   3 
 362 ,  60 .  19 
 409 ,  59 .   3 
 464 ,  59 .  61 
 523 ,  60 .  19 
 571 ,  60 .  62 
 609 ,  59 .   3 
 640 ,  59 .  90 
 679 ,  59 .  75 
 726 ,  59 .  90 
 798 ,  59 .  46 
 878 ,  60 .   4 
 963 ,  60 .   4 
1052 ,  59 .  61 
1154 ,  59 .   3 
1253 ,  59 .   3 
1348 ,  59 .  61 
1428 ,  60 .  19 
1498 ,  60 .  19 
1548 ,  59 .  46 
1585 ,  59 .  75 
1620 ,  59 .  61 
1645 ,  59 .   3 
1669 ,  59 .   3 
1692 ,  59 .   3 
1710 ,  60 .  19 
1745 ,  60 .  19 
1779 ,  59 .  17 
1820 ,  59 .   3 
1865 ,  60 .  19 
1920 ,  59 .  75 
1962 ,  60 .  19 
1978 ,  59 .  61 
1960 ,  60 .  62 
1930 ,  59 .  61 
1894 ,  60 .   4 
1866 ,  60 .   4 
1856 ,  61 .  20 
1873 ,  59 .  46 
1905 ,  59 .  61 
1957 ,  60 .  19 
2033 ,  59 .  46 
2121 ,  59 .  61 
2197 ,  59 .  61 
2250 ,  60 .   4 
2287 ,  58 .  74 
2300 ,  60 .   4 
2306 ,  59 .  75 
2302 ,  59 .  90 
2304 ,  60 .  91 
2309 ,  59 .  61 
2312 ,  60 .   4 
2305 ,  59 .  61 
2300 ,  60 .  77 
2290 ,  60 .   4 
2271 ,  59 .   3 
2240 ,  60 .  19 
2204 ,  60 .   4 
2166 ,  59 .  61 
2124 ,  60 .  19 
2080 ,  59 .  46 
2040 ,  60 .  19 
2011 ,  59 .  75 
1993 ,  59 .  46 
1988 ,  60 .  19 
1995 ,  58 .  45 
2022 ,  60 .   4 
2059 ,  59 .  46 
2090 ,  60 .   4 
2123 ,  59 .  46 
2159 ,  59 .  61 
2182 ,  60 .  19 
2186 ,  60 .   4 
2189 ,  59 .  90 
2191 ,  59 .  61 
2179 ,  59 .  61 
2165 ,  59 .  90 
2164 ,  59 .  46 
2168 ,  59 .  90 
2168 ,  59 .  75 
2170 ,  59 .  17 
2168 ,  60 .  19 
2177 ,  59 .  61 
2183 ,  59 .  32 
2190 ,  59 .  61 
2187 ,  60 .  48 
2184 ,  60 .   4 
2167 ,  60 .  62 
2148 ,  59 .  61 
2120 ,  59 .  90 
2105 ,  59 .   3 
2077 ,  58 .   1 
2052 ,  59 .  46 
