 ,  54 .  39 
1417 ,  56 .  71 
1403 ,  54 .  97 
1374 ,  55 .  55 
1346 ,  55 .  40 
1320 ,  56 .  42 
1284 ,  55 .  98 
1240 ,  55 .  40 
1211 ,  54 .  97 
1204 ,  54 .  97 
1198 ,  55 .  55 
1195 ,  55 .  55 
1189 ,  55 .  55 
1202 ,  55 .  98 
1231 ,  55 .  55 
1279 ,  56 .  42 
1347 ,  55 .  55 
1423 ,  54 .  97 
1497 ,  55 .  55 
1564 ,  55 .  98 
1629 ,  56 .  71 
1694 ,  55 .  55 
1747 ,  53 .  52 
1785 ,  55 .  40 
1825 ,  55 .  26 
1862 ,  54 .  97 
1880 ,  55 .  55 
1878 ,  55 .  40 
1866 ,  55 .  55 
1866 ,  56 .  42 
1854 ,  55 .  98 
1820 ,  54 .  82 
1769 ,  55 .  55 
1708 ,  54 .  97 
1638 ,  55 .  98 
1578 ,  55 .  55 
1541 ,  54 .  97 
1534 ,  55 .  55 
1540 ,  55 .  55 
1558 ,  55 .  55 
1592 ,  54 .  97 
1645 ,  55 .  55 
1704 ,  53 .  81 
1756 ,  55 .  55 
1808 ,  56 .  71 
1863 ,  55 .  55 
1917 ,  55 .  98 
1958 ,  53 .  95 
2003 ,  55 .  98 
2040 ,  57 .  14 
2072 ,  56 .  13 
2091 ,  55 .  55 
2110 ,  55 .  40 
2125 ,  55 .  40 
2137 ,  55 .  55 
2150 ,  55 .  55 
2155 ,  55 .  55 
2162 ,  55 .  98 
2170 ,  56 .  13 
2176 ,  54 .  39 
2181 ,  56 .  13 
2190 ,  56 .  27 
2187 ,  55 .  55 
2238 ,  55 .  55 
2316 ,  54 .  82 
2352 ,  54 .  97 
2349 ,  55 .  55 
2314 ,  55 .  55 
2259 ,  56 .  42 
2189 ,  54 .  39 
2096 ,  55 .  98 
1988 ,  53 .  95 
1882 ,  55 .  55 
1790 ,  55 .  26 
1710 ,  55 .  98 
1634 ,  55 .  40 
1568 ,  55 .  98 
1507 ,  55 .  26 
1444 ,  53 .  81 
1379 ,  55 .  26 
1322 ,  55 .  84 
1272 ,  55 .  98 
1224 ,  55 .  55 
1178 ,  56 .  56 
1141 ,  55 .  26 
1118 ,  56 .  13 
1089 ,  54 .  97 
1062 ,  56 .  71 
1037 ,  55 .  26 
1021 ,  54 .  24 
1003 ,  56 .  13 
 974 ,  54 .  97 
 961 ,  54 .  97 
 959 ,  54 .  39 
 952 ,  55 .  26 
 939 ,  54 .  24 
 937 ,  54 .  53 
 936 ,  55 .  55 
 930 ,  55 .  11 
 924 ,  54 .  82 
 924 ,  54 .  97 
 926 ,  55 .  40 
 923 ,  54 .  68 
 917 ,  56 .  13 
 912 ,  55 .  40 
 918 ,  54 .  24 
 915 ,  54 .  39 
 909 ,  56 .  13 
 910 ,  56 .  13 
 915 ,  54 .  97 
 920 ,  55 .  26 
 914 ,  55 .  40 
 918 ,  56 .  56 
 926 ,  55 .  40 
 924 ,  55 .  55 
 915 ,  55 .  55 
 919 ,  54 .  39 
 932 ,  54 .  68 
 939 ,  55 .  55 
 938 ,  56 .  56 
 943 ,  55 .  98 
 948 ,  55 .  40 
 953 ,  55 .  40 
 951 ,  54 .  24 
 953 ,  54 .  39 
 957 ,  54 .  39 
1065 ,  55 .  55 
1237 ,  55 .  98 
1423 ,  55 .  55 
1606 ,  54 .  97 
1774 ,  56 .  13 
1924 ,  54 .  10 
2067 ,  56 .  42 
2185 ,  55 .  55 
2268 ,  53 .  66 
2321 ,  55 .  55 
2352 ,  55 .  55 
2361 ,  54 .  97 
2356 ,  56 .  13 
2351 ,  55 .  40 
2357 ,  55 .  11 
2372 ,  55 .  11 
2389 ,  55 .  55 
2411 ,  55 .  55 
2442 ,  55 .  55 
2480 ,  55 .  40 
2518 ,  55 .  98 
2555 ,  55 .  55 
2592 ,  54 .  97 
2622 ,  55 .  98 
2639 ,  55 .  98 
2649 ,  56 .  13 
2656 ,  56 .  56 
2660 ,  56 .  27 
2660 ,  55 .  84 
2657 ,  54 .  39 
2659 ,  56 .  71 
2660 ,  56 .  56 
2660 ,  55 .  55 
2660 ,  55 .  55 
2666 ,  55 .  40 
2675 ,  55 .  26 
2676 ,  55 .  98 
2680 ,  56 .  56 
2680 ,  55 .  98 
2681 ,  55 .  55 
2680 ,  55 .  55 
2673 ,  54 .  97 
2671 ,  56 .  42 
2672 ,  55 .  40 
2666 ,  55 .  40 
2663 ,  55 .  55 
2659 ,  56 .  71 
2655 ,  54 .  39 
2646 ,  55 .  55 
2638 ,  56 .  42 
2628 ,  55 .  84 
2621 ,  55 .  11 
2615 ,  56 .  13 
2608 ,  55 .  26 
2606 ,  55 .  84 
2605 ,  55 .  40 
2603 ,  56 .  13 
2600 ,  55 .  55 
2599 ,  55 .  11 
2601 ,  54 .  82 
2600 ,  56 .  56 
2595 ,  54 .  97 
2596 ,  54 .  97 
2594 ,  54 .  97 
2592 ,  55 .  98 
2587 ,  56 .  13 
2588 ,  56 .  42 
2588 ,  55 .  98 
2590 ,  55 .  55 
2591 ,  56 .  13 
2598 ,  55 .  40 
2605 ,  55 .  55 
2609 ,  55 .  55 
2618 ,  55 .  40 
2619 ,  55 .  55 
2624 ,  55 .  55 
2629 ,  55 .  55 
2629 ,  55 .  84 
2631 ,  55 .  55 
2634 ,  55 .  55 
2632 ,  55 .  55 
2628 ,  54 .  39 
2626 ,  55 .  40 
2625 ,  55 .  55 
2624 ,  56 .  13 
2623 ,  56 .  27 
2624 ,  55 .  84 
2626 ,  56 .  71 
2630 ,  55 .  55 
2630 ,  54 .  97 
2636 ,  55 .  55 
2644 ,  56 .  27 
2648 ,  55 .  55 
2650 ,  55 .  40 
2656 ,  55 .  84 
2657 ,  56 .  13 
2656 ,  55 .  55 
2656 ,  56 .  56 
2655 ,  55 .  55 
2653 ,  55 .  26 
2654 ,  56 .  42 
2651 ,  55 .  98 
2647 ,  56 .  13 
2646 ,  55 .  98 
2637 ,  54 .  97 
2632 ,  54 .  97 
2629 ,  54 .  97 
2630 ,  55 .  40 
2625 ,  54 .  97 
2622 ,  55 .  40 
2622 ,  55 .  98 
2622 ,  56 .  13 
2616 ,  55 .  55 
2613 ,  54 .  82 
2614 ,  55 .  55 
2611 ,  55 .  55 
2610 ,  55 .  55 
2608 ,  56 .  71 
2605 ,  55 .  40 
2604 ,  56 .  13 
2596 ,  55 .  26 
2593 ,  57 .  14 
2590 ,  55 .  55 
2590 ,  56 .  71 
2586 ,  55 .  55 
2583 ,  55 .  40 
2586 ,  56 .  56 
2583 ,  55 .  40 
2578 ,  55 .  55 
2578 ,  55 .  55 
2576 ,  56 .  13 
2574 ,  54 .  97 
2576 ,  55 .  40 
2576 ,  56 .  13 
2577 ,  54 .  97 
2582 ,  55 .  55 
2579 ,  54 .  97 
2581 ,  54 .  39 
2579 ,  56 .  13 
2578 ,  54 .  39 
2573 ,  55 .  11 
2566 ,  54 .  97 
2564 ,  55 .  26 
2560 ,  54 .  82 
2552 ,  55 .  11 
2543 ,  55 .  84 
2543 ,  55 .  55 
2541 ,  54 .  97 
2538 ,  56 .  71 
2535 ,  55 .  98 
2533 ,  54 .  10 
2536 ,  56 .  42 
2533 ,  55 .  55 
2534 ,  55 .  98 
2536 ,  56 .  27 
2542 ,  55 .  55 
2546 ,  55 .  55 
2546 ,  55 .  26 
2551 ,  54 .  82 
2556 ,  54 .  97 
2556 ,  56 .  42 
2554 ,  54 .  97 
2551 ,  55 .  55 
2548 ,  56 .  85 
2541 ,  55 .  55 
2532 ,  56 .  27 
2524 ,  55 .  98 
2515 ,  55 .  55 
2503 ,  56 .  13 
2488 ,  55 .  98 
2473 ,  54 .  82 
2457 ,  54 .  97 
2440 ,  55 .  55 
2427 ,  55 .  55 
2413 ,  54 .  82 
2403 ,  55 .  55 
2394 ,  55 .  98 
2385 ,  55 .  55 
2390 ,  54 .  97 
2403 ,  54 .  97 
2408 ,  55 .  55 
2407 ,  56 .  13 
