,  35 .  10 
1936 ,  35 .  53 
1940 ,  35 .  24 
1942 ,  35 .  39 
1942 ,  35 .  82 
1943 ,  34 .  81 
1944 ,  34 .  37 
1944 ,  35 .  82 
1943 ,  35 .  39 
1941 ,  34 .  81 
1938 ,  34 .  81 
1937 ,  34 .   8 
1940 ,  34 .  52 
1944 ,  35 .  10 
1944 ,  35 .  82 
1944 ,  35 .  24 
1942 ,  33 .  50 
1943 ,  33 .  94 
1942 ,  35 .  39 
1942 ,  35 .  82 
1942 ,  34 .  52 
1941 ,  36 .  98 
1942 ,  34 .  37 
1940 ,  35 .  68 
1940 ,  36 .  40 
1939 ,  34 .  23 
1939 ,  34 .   8 
1939 ,  34 .  52 
1938 ,  35 .  39 
1938 ,  34 .  95 
1939 ,  35 .  82 
1937 ,  34 .   8 
1940 ,  33 .  50 
1939 ,  33 .  94 
1938 ,  34 .   8 
1937 ,  34 .  23 
1939 ,  32 .  92 
1939 ,  33 .  94 
1939 ,  35 .  24 
1938 ,  32 .  78 
1937 ,  34 .  23 
1937 ,  34 .  23 
1937 ,  35 .  82 
1939 ,  33 .  36 
1939 ,  33 .  50 
1939 ,  33 .  50 
1940 ,  33 .  94 
1938 ,  33 .  94 
1940 ,  34 .  81 
1939 ,  34 .  52 
1938 ,  34 .  23 
1936 ,  33 .  50 
1938 ,  34 .  81 
1938 ,  34 .  81 
1939 ,  33 .  94 
1937 ,  34 .  81 
1936 ,  35 .  10 
1938 ,  34 .  81 
1937 ,  35 .  39 
1936 ,  34 .  37 
1939 ,  33 .  94 
1937 ,  34 .  52 
1940 ,  35 .  10 
1937 ,  32 .  34 
1938 ,  35 .  10 
1939 ,  35 .  10 
1936 ,  35 .  10 
1938 ,  35 .  39 
1939 ,  34 .  52 
1938 ,  35 .  39 
1938 ,  35 .  68 
1939 ,  34 .  23 
1938 ,  35 .  39 
1938 ,  35 .  68 
1938 ,  35 .  10 
1938 ,  34 .  81 
1937 ,  35 .  10 
1937 ,  34 .   8 
1937 ,  34 .  52 
1936 ,  35 .  10 
1937 ,  34 .  66 
1937 ,  34 .  52 
1935 ,  35 .  39 
1938 ,  34 .  81 
1938 ,  35 .  10 
1938 ,  34 .  81 
1938 ,  34 .   8 
1938 ,  35 .  97 
1939 ,  34 .  52 
1938 ,  35 .  10 
1938 ,  35 .  24 
1933 ,  35 .  10 
1937 ,  34 .  52 
1937 ,  34 .  81 
1938 ,  35 .  39 
1939 ,  35 .  10 
1939 ,  34 .  81 
1937 ,  33 .  94 
1937 ,  35 .  39 
1937 ,  35 .  39 
1936 ,  35 .  39 
1940 ,  35 .  10 
1936 ,  35 .  39 
1937 ,  34 .  81 
1938 ,  34 .  23 
1940 ,  35 .  10 
1936 ,  35 .  10 
1939 ,  35 .  68 
1938 ,  35 .  10 
1938 ,  35 .  10 
1938 ,  35 .  39 
1938 ,  36 .  26 
1936 ,  35 .  10 
1938 ,  34 .  52 
1939 ,  35 .  68 
1938 ,  35 .  68 
1941 ,  35 .  24 
1935 ,  35 .  39 
1935 ,  35 .  39 
1933 ,  33 .  94 
1937 ,  35 .  39 
1939 ,  34 .  23 
1940 ,  35 .  39 
1936 ,  34 .  66 
1937 ,  34 .  52 
1939 ,  34 .  52 
1936 ,  35 .  39 
1936 ,  34 .  81 
1938 ,  35 .  68 
1938 ,  35 .  24 
1937 ,  34 .   8 
1938 ,  36 .  26 
1938 ,  35 .  24 
1937 ,  35 .  10 
1939 ,  34 .  95 
1939 ,  35 .  39 
1940 ,  34 .  52 
1939 ,  34 .  23 
1940 ,  33 .  36 
1938 ,  33 .  94 
1936 ,  33 .  50 
1939 ,  34 .  23 
1939 ,  34 .  37 
1941 ,  34 .  52 
1940 ,  34 .   8 
1941 ,  34 .  52 
1942 ,  35 .  10 
1942 ,  34 .  95 
1942 ,  34 .  52 
1944 ,  35 .  10 
1944 ,  35 .  10 
1941 ,  34 .   8 
1942 ,  34 .  66 
1943 ,  34 .  66 
1945 ,  34 .  81 
1946 ,  35 .  10 
1947 ,  33 .  94 
1947 ,  35 .  24 
1947 ,  34 .  37 
1947 ,  33 .  21 
1948 ,  33 .   7 
1952 ,  33 .  50 
1950 ,  35 .  10 
1948 ,  33 .  50 
1946 ,  32 .  78 
1945 ,  33 .  36 
1946 ,  34 .  81 
1945 ,  33 .  36 
1943 ,  34 .  23 
1941 ,  34 .  52 
1940 ,  34 .  66 
1939 ,  34 .  23 
1937 ,  34 .  23 
1938 ,  33 .   7 
1939 ,  34 .  81 
1937 ,  34 .   8 
1933 ,  34 .   8 
1935 ,  33 .  50 
1937 ,  34 .  52 
1933 ,  33 .  50 
1933 ,  33 .  50 
1935 ,  33 .  50 
1934 ,  34 .  81 
1932 ,  33 .  94 
1933 ,  34 .  23 
1933 ,  33 .  50 
1933 ,  34 .  52 
1934 ,  33 .   7 
1931 ,  35 .  39 
1934 ,  34 .  23 
1931 ,  34 .  23 
1932 ,  34 .  81 
1931 ,  33 .  50 
1933 ,  33 .  94 
1933 ,  34 .  52 
1932 ,  33 .  50 
1934 ,  33 .  94 
1934 ,  33 .  36 
1936 ,  34 .  52 
1933 ,  33 .  94 
1933 ,  33 .  50 
1934 ,  34 .  23 
1934 ,  34 .  81 
1933 ,  34 .  52 
1933 ,  33 .  50 
1933 ,  33 .  65 
1933 ,  34 .  81 
1933 ,  34 .  52 
1934 ,  33 .  50 
1935 ,  33 .  50 
1932 ,  35 .  53 
1933 ,  34 .  81 
1932 ,  34 .  52 
1932 ,  34 .   8 
1931 ,  34 .  66 
1934 ,  34 .  66 
1933 ,  33 .  50 
1932 ,  34 .  23 
1934 ,  34 .  23 
1934 ,  34 .  52 
1934 ,  34 .   8 
1932 ,  35 .  10 
1950 ,  34 .  81 
1934 ,  32 .  34 
1933 ,  34 .  81 
1934 ,  35 .  10 
1934 ,  33 .  94 
1932 ,  34 .  66 
1933 ,  34 .   8 
1932 ,  34 .  52 
