
1993 ,  36 .  98 
1992 ,  36 .  98 
1993 ,  37 .  42 
1992 ,  36 .  55 
1993 ,  35 .  82 
1992 ,  35 .  82 
1993 ,  36 .  26 
1994 ,  38 .   0 
1993 ,  36 .  40 
1996 ,  36 .  40 
1993 ,  36 .  26 
1993 ,  36 .  98 
1993 ,  36 .  26 
1994 ,  36 .  84 
1994 ,  36 .  84 
1993 ,  36 .  98 
1995 ,  36 .  55 
1993 ,  37 .  42 
1992 ,  36 .  84 
1992 ,  36 .  98 
1992 ,  36 .  98 
1992 ,  39 .  16 
1994 ,  36 .  98 
1991 ,  35 .  68 
1992 ,  38 .  14 
1993 ,  38 .   0 
1993 ,  36 .  84 
1993 ,  38 .   0 
1994 ,  38 .   0 
1995 ,  36 .  98 
1994 ,  36 .  98 
1994 ,  38 .  14 
1994 ,  38 .  14 
1995 ,  36 .  98 
1996 ,  36 .  84 
1995 ,  37 .  71 
1995 ,  36 .  98 
1998 ,  36 .  84 
1996 ,  36 .  98 
1996 ,  36 .  84 
1998 ,  36 .  55 
1996 ,  36 .  98 
1995 ,  36 .  98 
1997 ,  36 .  84 
1994 ,  38 .   0 
1994 ,  37 .  56 
1994 ,  36 .  98 
1991 ,  36 .  84 
1995 ,  36 .  84 
1995 ,  36 .  98 
1992 ,  36 .  98 
1993 ,  36 .  98 
1994 ,  36 .  98 
1989 ,  37 .  42 
1991 ,  38 .  14 
1990 ,  36 .  98 
1990 ,  38 .  87 
1988 ,  37 .  56 
1988 ,  38 .   0 
1991 ,  35 .  82 
1988 ,  36 .  98 
1986 ,  36 .  98 
1988 ,  36 .  98 
1988 ,  37 .  27 
1986 ,  36 .  98 
1987 ,  36 .  98 
1991 ,  36 .  98 
1986 ,  35 .  68 
1992 ,  37 .  71 
1983 ,  37 .  56 
1988 ,  36 .  98 
1985 ,  36 .  84 
1986 ,  36 .  98 
1988 ,  36 .  98 
1987 ,  36 .  98 
1984 ,  36 .  84 
1984 ,  36 .  84 
1984 ,  36 .  84 
1983 ,  36 .  98 
1986 ,  36 .  98 
1984 ,  36 .  55 
1985 ,  36 .  98 
1984 ,  36 .  98 
1985 ,  36 .  84 
1981 ,  37 .  42 
1981 ,  36 .  98 
1984 ,  36 .  98 
1984 ,  36 .  40 
1984 ,  36 .  40 
1984 ,  37 .  42 
1984 ,  36 .  98 
1982 ,  36 .  84 
1984 ,  36 .  84 
1984 ,  36 .  98 
1981 ,  36 .  98 
1982 ,  35 .  68 
1982 ,  37 .  42 
1983 ,  38 .   0 
1986 ,  37 .  42 
1982 ,  37 .  71 
1984 ,  36 .  98 
1983 ,  36 .  84 
1983 ,  36 .  98 
1983 ,  36 .  98 
1983 ,  36 .  98 
1982 ,  37 .  71 
1982 ,  36 .  98 
1981 ,  36 .  98 
1983 ,  38 .   0 
1983 ,  36 .  40 
1980 ,  38 .  14 
1982 ,  36 .  98 
1981 ,  39 .  30 
1981 ,  36 .  55 
1980 ,  36 .  84 
1981 ,  36 .  40 
1983 ,  36 .  84 
1983 ,  36 .  55 
1982 ,  37 .  71 
1982 ,  35 .  68 
1982 ,  36 .  40 
1982 ,  36 .  26 
1977 ,  35 .  68 
1981 ,  36 .  84 
1981 ,  36 .  84 
1983 ,  35 .  82 
1984 ,  35 .  97 
1981 ,  36 .  98 
1982 ,  35 .  68 
1982 ,  35 .  68 
1982 ,  35 .  39 
1983 ,  36 .  84 
1983 ,  35 .  68 
1983 ,  35 .  82 
1983 ,  36 .  55 
1983 ,  38 .   0 
1982 ,  36 .  40 
1983 ,  36 .  98 
1982 ,  36 .  98 
1982 ,  36 .  40 
1983 ,  36 .  55 
1982 ,  37 .  71 
1982 ,  36 .  84 
1981 ,  38 .  14 
1983 ,  36 .  26 
1982 ,  35 .  82 
1983 ,  36 .  84 
1980 ,  37 .  71 
1982 ,  36 .  40 
1981 ,  36 .  98 
1979 ,  36 .  40 
1981 ,  36 .  84 
1982 ,  36 .  98 
1982 ,  36 .  84 
1981 ,  36 .  55 
1983 ,  36 .  84 
1982 ,  36 .  69 
1983 ,  36 .  55 
1981 ,  35 .  82 
1983 ,  36 .  84 
1984 ,  37 .  71 
1984 ,  36 .  84 
1982 ,  36 .  55 
1983 ,  36 .  40 
1983 ,  36 .  98 
1983 ,  36 .  55 
1982 ,  36 .  55 
1983 ,  36 .  98 
1985 ,  36 .  84 
1984 ,  36 .  40 
1985 ,  36 .  84 
1986 ,  36 .  84 
1986 ,  36 .  98 
1986 ,  36 .  98 
1988 ,  36 .  69 
1987 ,  36 .  98 
1992 ,  37 .  42 
1992 ,  37 .  27 
1986 ,  36 .  98 
1992 ,  36 .  98 
1993 ,  36 .  98 
1994 ,  37 .  56 
1996 ,  36 .  98 
2000 ,  37 .  56 
2001 ,  36 .  84 
2001 ,  36 .  84 
2002 ,  38 .   0 
2006 ,  37 .  56 
2003 ,  38 .   0 
2014 ,  37 .  71 
2007 ,  36 .  55 
2008 ,  37 .  71 
2007 ,  36 .  84 
2008 ,  37 .  71 
2012 ,  37 .  42 
2008 ,  38 .  58 
2011 ,  37 .  56 
2011 ,  37 .  56 
2012 ,  37 .  56 
2013 ,  36 .  98 
2014 ,  37 .  56 
2013 ,  38 .  14 
2015 ,  39 .   1 
2016 ,  38 .   0 
2017 ,  38 .  14 
2019 ,  37 .  56 
2020 ,  37 .  71 
2022 ,  38 .  58 
2024 ,  38 .  43 
2024 ,  38 .   0 
2021 ,  37 .  56 
2020 ,  37 .  56 
2020 ,  38 .  14 
2023 ,  37 .  56 
2025 ,  37 .  85 
2023 ,  36 .  98 
2026 ,  38 .  14 
2024 ,  37 .  42 
2024 ,  38 .   0 
2024 ,  39 .  16 
2024 ,  37 .  56 
2023 ,  38 .  14 
2021 ,  36 .  98 
2021 ,  38 .  58 
2024 ,  38 .  29 
2027 ,  38 .  14 
2023 ,  38 .  14 
2023 ,  38 .  14 
2025 ,  37 .  42 
2025 ,  38 .  87 
2026 ,  37 .  71 
2026 ,  38 .  58 
2026 ,  38 .  58 
2026 ,  40 .  32 
2025 ,  36 .  98 
2027 ,  36 .  98 
2027 ,  35 .  82 
2027 ,  38 .  14 
2029 ,  38 .  14 
2033 ,  37 .  71 
2032 ,  38 .  58 
2032 ,  37 .  42 
2031 ,  38 .  58 
2030 ,  36 .  98 
2022 ,  36 .  84 
2012 ,  35 .  82 
2004 ,  36 .  98 
2006 ,  37 .  42 
2011 ,  37 .  27 
2022 ,  36 .  98 
2017 ,  36 .  98 
2021 ,  36 .  55 
